evidence_id,status,topic,summary,source_path,line_anchor,usage_notes
refPoint,implemented,anchored_coordinate_model,"Pinpoint stores a per-viewer reference point in image coordinates and updates it on explicit user selection.",src/modes/PinpointMode.tsx,478-488,"Use for core invention description about slot-specific 기준 참조점 저장."
refScreen,implemented,anchored_coordinate_model,"Pinpoint stores shared screen reference coordinates separately from the per-viewer reference point.",src/modes/PinpointMode.tsx,487-488,"Use for 공통 화면 기준좌표 관리부 설명."
forward_transform,implemented,coordinate_engine,"The forward transform computes drawX and drawY so the chosen image reference point aligns to the shared screen reference under combined local/global scale and rotation.",src/utils/viewTransforms.ts,14-45,"Use in system section and formula section."
inverse_transform,implemented,coordinate_engine,"The inverse mapping converts screen coordinates back to image coordinates using the same transform parameters used for rendering.",src/utils/viewTransforms.ts,80-91,"Use for 폐루프 and 입력-표시 일치 설명."
click_reprojection,implemented,interaction_loop,"Reference-point clicks in Pinpoint recompute current draw translation and inverse rotation before normalizing the selected image coordinate.",src/components/ImageCanvas.tsx,1044-1095,"Use for user input to image coordinate loop."
same_image_multi_point,implemented,operator_workflow,"Loading the same file into another viewer preserves the previous slot refPoint when the same file remains in that target slot, enabling repeated multi-slot use of one image.",src/modes/PinpointMode.tsx,507-543,"Use carefully: describe as same-image multi-slot observation, not multi-pin in one viewer."
minimap_reuse,implemented,coordinate_engine,"The minimap uses the same computePinpointTransform and screenToImage logic to draw the current viewport polygon consistently with the main canvas.",src/components/Minimap.tsx,53-93,"Use to support coordinate-model reuse across auxiliary UI."
pin_pan_split,implemented,operator_workflow,"Pinpoint explicitly separates Pin and Pan mouse modes in the top toolbar.",src/App.tsx,1221-1226,"Use for 입력 모드 제어부."
shift_only_reorder,implemented,operator_workflow,"Viewer drag reorder starts only when Shift is held, reducing accidental rearrangement during normal interaction.",src/components/DraggableViewer.tsx,32-40,"Use for deliberate reorder activation."
state_preserving_reorder,implemented,operator_workflow,"Pinpoint reorder moves assigned images together with per-slot scale, rotation, filter, and parameter state rather than treating viewers as freely moving canvases.",src/modes/PinpointMode.tsx,938-1016,"Use for 상태 보존형 fixed-slot 재배치 설명."
rect_zoom,implemented,operator_workflow,"Pinpoint rect-zoom maps the selected screen region back into image coordinates and computes the next scale from the selection size before updating the active viewer reference point.",src/components/ImageCanvas.tsx,1129-1202,"Use with caution language from rectzoom base doc; avoid 무오차 claims."
two_point_leveling,implemented,operator_workflow,"Leveling capture stores two points, computes an angle with atan2, derives a horizontal/vertical delta, and applies the result to pinpoint, compare, or analysis rotation state.",src/store.ts,1000-1055,"Use for 2점 레벨링 자동 회전 보정."
layout_ceiling_24,implemented_context,operator_workflow,"The layout selector enforces a current implementation ceiling of 24 viewers while allowing multiple row/column combinations.",src/components/LayoutGridSelector.tsx,27-31,"Treat as current implementation context, not the inventive core."
report_capture_linkage,implemented_context,workflow_context,"The report package can describe that aligned views are reused in capture workflows, but this package should keep the core invention centered on alignment and state preservation rather than capture itself.",STRATEGY/main_docs/06_compareX_Pinpoint_employee_invention_report_submittable_final_v2.pdf,page-13-to-17,"Use as contextual workflow linkage only."
